DateTime,Category,Property Type,Address,Bedrooms,Bathrooms,Price,Link,Telephone,Managed,Pool,Furnished,zillow Link,zillow Number
17/05/2023 20:56:00,Rent,Single family,400 Royal Plaza Dr Fort Lauderdale FL 33301,7,7,"$86,645","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/400-Royal-Plaza-Dr_Fort-Lauderdale_FL_33301_M63133-42799"",""https://www.realtor.com/realestateandhomes-detail/400-Royal-Plaza-Dr_Fort-Lauderdale_FL_33301_M63133-42799"")",,,Y,N,"=HYPERLINK(""https://www.zillow.com/b/400-royal-plaza-dr-,-.num.-0-fort-lauderdale-fl-C2v5qm/"",""https://www.zillow.com/b/400-royal-plaza-dr-,-.num.-0-fort-lauderdale-fl-C2v5qm/"")",(954) 579-5720
17/05/2023 20:56:11,Rent,Single family,765 Middle River Dr Fort Lauderdale FL 33304,5,5.5,"$65,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/765-Middle-River-Dr_Fort-Lauderdale_FL_33304_M69598-81008"",""https://www.realtor.com/realestateandhomes-detail/765-Middle-River-Dr_Fort-Lauderdale_FL_33304_M69598-81008"")",,,Y,N,"=HYPERLINK(""https://www.zillow.com/homes/765MiddleRiverDrFortLauderdaleFL33304/43191084_zpid/"",""https://www.zillow.com/homes/765MiddleRiverDrFortLauderdaleFL33304/43191084_zpid/"")",(954) 415-7190
17/05/2023 20:56:32,Rent,Single family,2817 NE 35th St Fort Lauderdale FL 33306,6,6.5,"$65,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/2817-NE-35th-St_Fort-Lauderdale_FL_33306_M66278-20641"",""https://www.realtor.com/realestateandhomes-detail/2817-NE-35th-St_Fort-Lauderdale_FL_33306_M66278-20641"")",,,Y,N,"=HYPERLINK(""https://www.zillow.com/homes/2817NE35thStFortLauderdaleFL33306/43084183_zpid/"",""https://www.zillow.com/homes/2817NE35thStFortLauderdaleFL33306/43084183_zpid/"")",
17/05/2023 20:56:54,Rent,Single family,74 Nurmi Dr Fort Lauderdale FL 33301,6,4.5,"$50,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/74-Nurmi-Dr_Fort-Lauderdale_FL_33301_M66024-26087"",""https://www.realtor.com/realestateandhomes-detail/74-Nurmi-Dr_Fort-Lauderdale_FL_33301_M66024-26087"")",,,Y,N,"=HYPERLINK(""https://www.zillow.com/homes/74NurmiDrFortLauderdaleFL33301/43190789_zpid/"",""https://www.zillow.com/homes/74NurmiDrFortLauderdaleFL33301/43190789_zpid/"")",(954) 224-5737
17/05/2023 20:57:06,Rent,Single family,1400 Bayview Dr Fort Lauderdale FL 33304,7,7.5+,"$55,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/1400-Bayview-Dr_Fort-Lauderdale_FL_33304_M93472-02668"",""https://www.realtor.com/realestateandhomes-detail/1400-Bayview-Dr_Fort-Lauderdale_FL_33304_M93472-02668"")",,,Y,N,"=HYPERLINK(""https://www.zillow.com/b/1400-bayview-dr-fort-lauderdale-fl-5j5Jmy/"",""https://www.zillow.com/b/1400-bayview-dr-fort-lauderdale-fl-5j5Jmy/"")",
17/05/2023 20:57:17,Rent,Single family,511 Isle of Capri Dr Fort Lauderdale FL 33301,6,7.5+,"$75,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/511-Isle-of-Capri-Dr_Fort-Lauderdale_FL_33301_M50973-80989"",""https://www.realtor.com/realestateandhomes-detail/511-Isle-of-Capri-Dr_Fort-Lauderdale_FL_33301_M50973-80989"")",,,Y,N,"=HYPERLINK(""https://www.zillow.com/homes/511IsleofCapriDrFortLauderdaleFL33301/43204821_zpid/"",""https://www.zillow.com/homes/511IsleofCapriDrFortLauderdaleFL33301/43204821_zpid/"")",
17/05/2023 20:57:27,Rent,Condos,440 Mola Ave Fort Lauderdale FL 33301,6,5,"$60,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/440-Mola-Ave_Fort-Lauderdale_FL_33301_M57130-73175"",""https://www.realtor.com/realestateandhomes-detail/440-Mola-Ave_Fort-Lauderdale_FL_33301_M57130-73175"")",,,Y,N,"=HYPERLINK(""https://www.zillow.com/b/440-mola-ave-fort-lauderdale-fl-65Zpyg/"",""https://www.zillow.com/b/440-mola-ave-fort-lauderdale-fl-65Zpyg/"")",
17/05/2023 20:57:37,Rent,Single family,300 Royal Plaza Dr Fort Lauderdale FL 33301,7,6.5,"$60,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/300-Royal-Plaza-Dr_Fort-Lauderdale_FL_33301_M51208-21266"",""https://www.realtor.com/realestateandhomes-detail/300-Royal-Plaza-Dr_Fort-Lauderdale_FL_33301_M51208-21266"")",,,Y,N,"=HYPERLINK(""https://www.zillow.com/homes/300RoyalPlazaDrFortLauderdaleFL33301/43206129_zpid/"",""https://www.zillow.com/homes/300RoyalPlazaDrFortLauderdaleFL33301/43206129_zpid/"")",
17/05/2023 20:57:47,Rent,Single family,310 SE 11th Ave Fort Lauderdale FL 33301,5,5,"$50,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/310-SE-11th-Ave_Fort-Lauderdale_FL_33301_M57858-32011"",""https://www.realtor.com/realestateandhomes-detail/310-SE-11th-Ave_Fort-Lauderdale_FL_33301_M57858-32011"")",,,Y,N,"=HYPERLINK(""https://www.zillow.com/homes/310SE11thAveFortLauderdaleFL33301/43204661_zpid/"",""https://www.zillow.com/homes/310SE11thAveFortLauderdaleFL33301/43204661_zpid/"")",
17/05/2023 20:57:57,Rent,Single family,2700 SE 18th St Unit 100 Fort Lauderdale FL 33301,6,5.5,"$55,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/2700-SE-18th-St-Unit-100_Fort-Lauderdale_FL_33301_M96674-41794"",""https://www.realtor.com/realestateandhomes-detail/2700-SE-18th-St-Unit-100_Fort-Lauderdale_FL_33301_M96674-41794"")",,,Y,N,"=HYPERLINK(""https://www.zillow.com/homes/2700SE18thStUnit100FortLauderdaleFL33301/2063185823_zpid/"",""https://www.zillow.com/homes/2700SE18thStUnit100FortLauderdaleFL33301/2063185823_zpid/"")",
